x,y
-9.88,-11.68
2.99,3.26
-7.47,-8.47
-4.71,-1.91
1.17,4.14
5.78,17.50
4.23,0.58
1.52,7.97
5.44,12.90
4.50,14.53
-8.58,-10.18
-8.62,-2.47
-6.96,1.04
4.81,8.15
9.34,19.17
-7.88,-12.50
-2.32,-2.89
-6.64,-6.74
-3.61,-0.46
8.62,13.74
-7.00,-12.77
7.64,10.95
7.93,12.38
-4.03,-4.74
-7.36,-8.53
1.12,1.95
-5.91,2.38
-2.67,0.24
-9.19,-10.84
-1.12,6.86
-7.51,-16.94
-3.36,-4.11
3.30,11.76
-7.86,-6.09
-3.93,1.15
4.54,8.27
-9.86,-15.27
5.91,11.16
-0.52,2.82
-1.12,-3.48
-7.79,-9.35
6.13,12.74
-6.26,-7.37
5.81,8.66
-4.06,-5.15
-6.94,-8.45
-8.22,-7.50
3.05,9.74
-1.79,-0.47
2.42,6.32
-8.85,-1.63
7.85,14.38
-0.11,5.25
7.57,9.51
0.41,4.42
3.18,14.37
5.55,13.04
9.84,16.88
-0.06,1.10
9.94,11.19
7.24,15.53
9.61,12.52
5.30,12.75
-0.77,2.84
9.49,18.64
4.99,7.17
-0.78,5.51
-5.46,-5.72
-5.97,-7.59
8.71,17.43
-4.00,-3.15
4.40,13.04
-0.22,0.91
-6.52,-8.57
7.74,16.03
-9.05,-7.90
-0.01,3.38
-5.50,-8.59
3.93,6.34
0.65,4.56
2.75,8.31
-2.43,-4.93
-5.31,-6.78
-0.21,-2.26
-1.41,2.65
9.45,19.56
8.16,21.34
9.90,13.71
-4.35,-4.00
8.92,14.38
-1.64,-1.75
3.11,3.22
1.97,11.29
3.14,9.65
-5.78,-8.01
2.96,1.51
-0.64,1.68
6.97,15.85
-2.20,3.28
-1.56,2.45
4.33,4.50
8.35,22.21
-9.04,-17.46
-1.94,0.92
-1.09,3.22
6.20,10.17
-4.49,-1.36
-8.68,-10.12
7.73,10.08
4.58,6.00
-2.68,-2.76
-2.05,-1.16
9.64,15.10
2.44,4.73
7.08,14.96
3.53,12.89
7.89,6.99
-5.22,0.61
9.55,6.57
5.84,12.63
1.74,4.15
2.02,8.44
3.40,1.80
2.84,5.28
-8.65,-8.51
5.28,9.68
5.33,16.17
7.54,16.74
0.99,9.61
-0.90,-1.41
4.45,8.60
-4.83,-0.85
-0.41,2.95
7.59,10.42
9.21,16.33
-5.62,-8.29
-3.46,-4.97
-1.47,2.95
-4.50,-1.11
3.79,10.55
-1.31,-0.68
-3.05,-4.71
-2.83,1.03
-8.19,-5.74
-0.20,4.00
-7.00,-8.76
6.33,14.70
-9.89,-15.00
5.99,10.62
-6.76,-4.79
8.69,13.15
-5.74,-2.59
-9.41,-19.32
10.00,26.41
1.20,9.68
6.31,4.02
1.94,4.18
-1.93,-2.92
9.11,20.74
1.72,10.83
-7.75,-17.75
8.32,11.82
-2.62,-1.39
6.61,16.53
0.68,5.66
0.57,3.24
4.17,7.45
0.13,3.38
5.76,7.57
2.08,9.02
9.36,21.33
-0.47,1.68
0.88,0.59
-3.60,1.40
1.57,6.99
-4.44,-6.43
4.33,8.15
-7.34,-2.27
-8.01,-15.04
5.54,15.17
-8.32,-7.52
9.73,24.01
-8.02,-10.23
-6.90,-2.33
0.37,8.46
-8.83,-10.37
-4.81,-10.67
2.72,6.29
7.42,6.77
-8.55,-13.89
4.18,8.69
-3.48,2.63
9.31,17.91
-1.67,-2.59
-3.68,-5.34
-1.36,2.79
-4.29,-6.51
-2.53,-1.27
-4.67,-10.94
0.95,5.84
8.48,11.80
2.68,2.69
8.86,12.00
-6.61,-11.38
-7.82,0.41
-3.11,-1.67
2.44,11.58
4.50,8.32
7.71,15.02
-2.73,0.94
-2.87,-0.34
3.49,9.49
-7.70,-13.23
6.18,15.62
3.83,4.75
-5.10,-10.74
8.92,19.83
1.65,4.88
-6.26,-9.54
-6.33,1.65
-0.11,1.07
-5.00,-8.70
-9.33,-18.06
2.03,5.54
-2.25,4.35
9.58,15.06
-5.62,-4.77
7.37,11.67
6.10,14.16
3.00,8.41
-8.47,-11.81
7.59,14.73
9.25,13.66
0.02,3.78
0.42,1.08
0.07,8.22
-7.32,-8.36
-5.33,-1.62
1.66,5.41
8.38,10.61
-6.43,-7.88
1.52,2.61
7.18,7.93
4.68,9.55
-0.84,-2.65
0.87,6.37
5.97,10.04
4.77,12.18
-5.59,-5.72
-1.30,-0.40
4.13,8.95
-3.37,-3.58
7.43,17.26
-0.09,0.63
-2.16,-2.38
-1.89,-4.13
-1.61,7.62
-1.75,-0.01
-1.49,-0.57
-1.94,1.75
-3.37,-0.30
-7.16,-3.69
4.45,7.27
-6.12,-3.31
0.38,6.66
-2.70,4.35
-3.86,-2.91
-0.52,-1.44
-7.34,-6.16
5.59,10.39
-8.63,0.01
5.72,1.63
-3.43,-6.02
-3.46,-1.87
1.18,2.93
4.63,7.21
-5.02,1.90
0.89,8.01
9.86,19.27
7.39,14.35
2.83,6.56
5.38,13.78
4.96,6.77
-5.67,-2.90
-6.46,-9.05
6.48,15.33
4.03,10.12
-9.41,-6.35
4.56,11.68
-2.59,-2.93
3.89,0.49
-9.09,-3.90
8.16,12.87
2.24,8.16
-5.85,-2.80
5.58,14.10
7.97,14.36
-9.73,-9.21
7.26,13.92
-3.15,-3.00
7.45,12.00
5.72,7.19
-5.43,-6.01
-5.77,-3.61
9.62,20.27
2.47,2.61
9.15,22.30
-3.69,-1.80
0.20,-4.09
-2.90,1.05
-2.27,0.00
0.52,2.84
8.37,12.64
-3.66,-0.83
-5.32,-7.34
0.82,6.43
-1.49,1.44
-5.42,-8.47
0.58,1.05
2.05,3.85
3.45,9.70
8.56,12.08
9.49,20.95
1.44,5.70
3.09,5.90
-4.66,0.95
8.30,14.98
8.96,10.26
4.72,14.47
1.36,1.05
1.62,1.83
-9.31,-9.92
2.01,7.96
-7.17,-8.04
0.80,3.53
-3.55,-3.11
7.38,9.02
9.22,9.64
6.82,7.78
9.31,18.11
7.69,17.65
4.42,11.44
-9.67,-11.18
6.15,9.98
-2.12,4.47
8.47,11.27
-3.73,-3.82
-4.23,-4.15
-4.64,-0.71
-5.15,-6.15
3.21,9.28
1.29,7.80
-5.01,-3.58
-2.65,-1.10
5.46,11.90
5.93,14.15
5.41,14.00
1.29,6.40
-7.15,-7.40
-0.45,2.24
6.68,9.66
2.42,9.55
3.95,11.34
5.22,13.26
-4.44,1.44
0.81,1.07
0.19,-1.32
-7.79,-7.65
-5.28,-5.32
-2.28,2.61
6.41,11.65
5.36,8.22
9.82,16.56
