Name,Gender,Count
james,M,5304407
john,M,5260831
robert,M,4970386
michael,M,4579950
william,M,4226608
mary,F,4169663
david,M,3787547
joseph,M,2695970
richard,M,2638187
charles,M,2433540
thomas,M,2381034
christopher,M,2196198
daniel,M,2039641
matthew,M,1738699
elizabeth,F,1704140
patricia,F,1608260
jennifer,F,1584426
anthony,M,1506437
george,M,1495736
linda,F,1480592
barbara,F,1459870
donald,M,1447641
paul,M,1437346
mark,M,1410637
andrew,M,1394274
steven,M,1347137
kenneth,M,1321790
edward,M,1319807
joshua,M,1316998
margaret,F,1280255
brian,M,1239444
kevin,M,1237204
jessica,F,1173979
sarah,F,1162143
susan,F,1154677
timothy,M,1122610
dorothy,F,1118450
jason,M,1112091
ronald,M,1111459
helen,F,1033566
ryan,M,1026185
jeffrey,M,1020570
karen,F,1018083
nancy,F,1016057
betty,F,1005188
lisa,F,1005108
jacob,M,975297
nicholas,M,968611
ashley,F,957384
eric,M,932323
frank,M,924751
gary,M,924718
anna,F,916075
stephen,M,906367
jonathan,M,901897
sandra,F,901623
emily,F,899883
amanda,F,886371
kimberly,F,874977
michelle,F,862683
donna,F,849167
justin,M,846720
laura,F,842865
ruth,F,832959
carol,F,831393
brandon,M,828500
larry,M,818093
scott,M,811733
melissa,F,808067
stephanie,F,802059
benjamin,M,800321
raymond,M,795468
samuel,M,791052
rebecca,F,788998
deborah,F,757908
gregory,M,746456
sharon,F,742904
kathleen,F,736220
amy,F,731739
cynthia,F,723943
alexander,M,716159
patrick,M,713972
jack,M,711970
henry,M,702836
angela,F,699210
shirley,F,698062
emma,F,693904
catherine,F,686347
katherine,F,671534
virginia,F,654643
nicole,F,653738
dennis,M,634888
walter,M,631880
tyler,M,627809
peter,M,624703
brenda,F,623319
aaron,M,623260
jerry,M,619534
christine,F,618510
samantha,F,614650
adam,M,613090
rachel,F,608929
pamela,F,608542
frances,F,597703
nathan,M,588399
douglas,M,587147
heather,F,584816
evelyn,F,583016
jose,M,582242
alice,F,571812
janet,F,569909
maria,F,567973
zachary,M,567305
carolyn,F,565635
debra,F,562674
harold,M,556704
martha,F,552497
marie,F,548785
arthur,M,540307
julie,F,532960
kyle,M,532546
diane,F,530707
christina,F,519041
victoria,F,514307
joyce,F,513332
carl,M,511826
lauren,F,511468
grace,F,509446
kelly,F,505014
albert,M,497184
rose,F,489578
megan,F,489524
joan,F,489178
jeremy,M,476599
ann,F,476259
julia,F,474896
kathryn,F,474269
lawrence,M,469128
olivia,F,468892
judith,F,466109
doris,F,465461
jean,F,464229
andrea,F,463819
gerald,M,459573
sean,M,456056
joe,M,454987
keith,M,454311
sara,F,453924
cheryl,F,453366
hannah,F,452249
mildred,F,452211
willie,M,452027
lillian,F,450001
roger,M,449323
jesse,M,446751
jacqueline,F,442645
ethan,M,440943
terry,M,434103
christian,M,432774
harry,M,428640
teresa,F,427017
austin,M,426133
gloria,F,419045
ralph,M,417786
janice,F,416428
roy,M,413772
theresa,F,412817
amber,F,411042
danielle,F,408784
noah,M,406062
bryan,M,405573
jordan,M,405211
louis,M,402583
brittany,F,400503
bruce,M,397629
madison,F,390237
judy,F,387362
billy,M,387105
dylan,M,386496
denise,F,384420
beverly,F,383574
eugene,M,382946
jane,F,379650
marilyn,F,379650
abigail,F,376102
diana,F,373821
charlotte,F,373216
natalie,F,373128
tiffany,F,369806
wayne,M,369307
russell,M,365975
alan,M,364887
crystal,F,364045
sophia,F,361184
irene,F,359429
juan,M,357801
ruby,F,357535
gabriel,M,357532
philip,M,356424
annie,F,355337
kayla,F,353100
vincent,M,352791
lori,F,349991
howard,M,349397
alexis,F,348161
erin,F,345327
fred,M,345020
logan,M,344794
isabella,F,343387
